customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST_00047,13,15,116257.96,5,5,2,12,Loyal Customers
CUST_00048,33,11,92438.33,4,3,1,8,Potential Loyalists
CUST_00049,100,6,46507.95,2,1,1,4,Lost
CUST_00050,72,6,26824.75,2,1,1,4,Lost
CUST_00051,73,15,424587.55,2,5,5,12,Loyal Customers
CUST_00052,23,14,449372.52999999997,4,5,5,14,Champions
CUST_00053,115,17,260415.5,2,5,4,11,Loyal Customers
CUST_00054,47,9,437308.43,3,2,5,10,Loyal Customers
CUST_00055,19,14,429937.68000000005,4,5,5,14,Champions
CUST_00056,108,4,27803.809999999998,2,1,1,4,Lost
CUST_00057,32,12,291714.29,4,4,4,12,Loyal Customers
CUST_00058,27,10,172496.16,4,3,3,10,Loyal Customers
CUST_00059,89,19,475535.75,2,5,5,12,Loyal Customers
CUST_00060,76,7,46459.98,2,1,1,4,Lost
CUST_00061,91,8,167903.83000000002,2,2,3,7,Lost
CUST_00062,61,7,117711.17000000001,3,1,2,6,Potential Loyalists
CUST_00063,74,8,167462.59,2,2,3,7,Lost
CUST_00064,205,6,96794.3,1,1,1,3,Lost
CUST_00065,161,10,460663.58999999997,1,3,5,9,Potential Loyalists
CUST_00066,243,7,167419.41999999998,1,1,3,5,Lost
CUST_00067,132,9,235986.79,1,2,4,7,Lost
CUST_00068,90,10,209066.97,2,3,3,8,Potential Loyalists
CUST_00069,87,9,96341.78,2,2,1,5,Lost
CUST_00070,111,12,279390.75,2,4,4,10,Loyal Customers
CUST_00071,32,9,98114.91,4,2,1,7,Promising
CUST_00072,7,13,320790.44,5,4,4,13,Champions
CUST_00073,46,8,53720.69,3,2,1,6,Potential Loyalists
CUST_00074,92,8,127174.07,2,2,2,6,Lost
CUST_00075,3,6,118188.6,5,1,2,8,Promising
CUST_00076,30,13,291681.92,4,4,4,12,Loyal Customers
CUST_00077,42,7,285733.29,3,1,4,8,Potential Loyalists
CUST_00078,275,8,111287.34,1,2,2,5,Lost
CUST_00079,4,11,217962.61000000002,5,3,3,11,Loyal Customers
CUST_00080,142,15,600096.36,1,5,5,11,Loyal Customers
CUST_00081,28,12,244368.13,4,4,4,12,Loyal Customers
CUST_00082,163,6,73853.61,1,1,1,3,Lost
CUST_00083,91,7,115427.76999999999,2,1,2,5,Lost
CUST_00084,114,8,47276.340000000004,2,2,1,5,Lost
CUST_00085,82,18,431761.18,2,5,5,12,Loyal Customers
CUST_00086,4,11,249595.85,5,3,4,12,Loyal Customers
CUST_00087,55,10,655320.72,3,3,5,11,Loyal Customers
CUST_00088,195,11,267736.86,1,3,4,8,Potential Loyalists
CUST_00089,20,18,266188.08999999997,4,5,4,13,Champions
CUST_00090,71,9,48367.26,2,2,1,5,Lost
CUST_00091,46,11,435337.85,3,3,5,11,Loyal Customers
CUST_00092,7,11,128835.25,5,3,2,10,Loyal Customers
CUST_00093,7,12,248224.02000000002,5,4,4,13,Champions
CUST_00094,92,10,316896.29,2,3,4,9,Potential Loyalists
CUST_00095,81,15,548111.82,2,5,5,12,Loyal Customers
CUST_00096,109,7,24253.39,2,1,1,4,Lost
CUST_00097,36,18,372203.91,4,5,5,14,Champions
CUST_00098,109,9,171830.78,2,2,3,7,Lost
CUST_00099,240,7,41609.99,1,1,1,3,Lost
CUST_00100,38,5,116504.89,4,1,2,7,Promising
CUST_00101,13,14,245006.1,5,5,4,14,Champions
CUST_00102,9,13,494558.2,5,4,5,14,Champions
CUST_00103,195,8,184363.17,1,2,3,6,Lost
CUST_00104,6,8,86235.14,5,2,1,8,Promising
CUST_00105,40,8,241624.63999999998,3,2,4,9,Potential Loyalists
CUST_00106,12,9,155436.31,5,2,2,9,Promising
CUST_00107,35,10,285925.32,4,3,4,11,Loyal Customers
CUST_00108,116,12,223897.72,2,4,3,9,At Risk
CUST_00109,14,15,115742.39,5,5,2,12,Loyal Customers
CUST_00110,2,10,261829.18,5,3,4,12,Loyal Customers
CUST_00111,85,6,14767.98,2,1,1,4,Lost
CUST_00112,160,6,98142.43000000001,1,1,1,3,Lost
CUST_00113,26,9,192296.59,4,2,3,9,Promising
CUST_00114,30,7,377579.95,4,1,5,10,Loyal Customers
CUST_00115,133,9,353356.78,1,2,5,8,Lost
CUST_00116,20,14,420174.72,4,5,5,14,Champions
CUST_00117,46,7,124741.87,3,1,2,6,Potential Loyalists
CUST_00118,9,11,67918.47,5,3,1,9,Potential Loyalists
CUST_00119,23,11,154746.78,4,3,2,9,Potential Loyalists
CUST_00120,39,9,153874.0,3,2,2,7,Potential Loyalists
CUST_00121,176,10,326829.62,1,3,4,8,Potential Loyalists
CUST_00122,10,8,109877.52,5,2,2,9,Promising
CUST_00123,49,9,144554.34,3,2,2,7,Potential Loyalists
CUST_00124,204,6,55604.25,1,1,1,3,Lost
CUST_00125,2,13,189164.31,5,4,3,12,Loyal Customers
CUST_00126,430,7,255766.71999999997,1,1,4,6,Lost
CUST_00127,103,12,246071.07,2,4,4,10,Loyal Customers
CUST_00128,31,9,195497.37,4,2,3,9,Promising
CUST_00129,29,16,674088.14,4,5,5,14,Champions
CUST_00130,19,9,195303.08000000002,4,2,3,9,Promising
CUST_00131,118,7,217558.08,2,1,3,6,Lost
CUST_00132,95,11,143022.35,2,3,2,7,Potential Loyalists
CUST_00133,36,12,545085.1699999999,4,4,5,13,Champions
CUST_00134,35,7,157657.8,4,1,2,7,Promising
CUST_00135,66,12,214118.54,3,4,3,10,Loyal Customers
CUST_00136,72,11,358138.67,2,3,5,10,Loyal Customers
CUST_00137,38,5,131859.53,4,1,2,7,Promising
CUST_00138,17,7,30639.82,5,1,1,7,Promising
CUST_00139,100,7,122172.38,2,1,2,5,Lost
CUST_00140,18,12,91165.44,4,4,1,9,Potential Loyalists
CUST_00141,14,12,168965.38999999998,5,4,3,12,Loyal Customers
CUST_00142,325,4,60682.16,1,1,1,3,Lost
CUST_00143,151,10,174152.65,1,3,3,7,Potential Loyalists
CUST_00144,123,7,367041.93000000005,1,1,5,7,Lost
CUST_00145,88,10,539635.73,2,3,5,10,Loyal Customers
CUST_00146,50,7,226191.45,3,1,3,7,Potential Loyalists
CUST_00147,68,11,256914.22,2,3,4,9,Potential Loyalists
CUST_00148,13,11,474909.63,5,3,5,13,Champions
CUST_00149,43,14,87334.75,3,5,1,9,Potential Loyalists
CUST_00150,48,10,123105.31,3,3,2,8,Potential Loyalists
CUST_00151,5,6,101903.14,5,1,2,8,Promising
CUST_00152,95,6,314075.38,2,1,4,7,Lost
CUST_00153,86,9,327808.62,2,2,4,8,Lost
CUST_00154,1,12,343381.51,5,4,5,14,Champions
CUST_00155,62,12,339715.04,3,4,5,12,Loyal Customers
CUST_00156,109,13,353070.51,2,4,5,11,Loyal Customers
CUST_00157,248,8,180702.52,1,2,3,6,Lost
CUST_00158,54,5,75031.84999999999,3,1,1,5,Potential Loyalists
CUST_00159,42,6,45516.020000000004,3,1,1,5,Potential Loyalists
CUST_00160,21,8,328582.08999999997,4,2,4,10,Loyal Customers
CUST_00161,146,7,284531.42,1,1,4,6,Lost
CUST_00162,144,10,100085.16,1,3,2,6,Potential Loyalists
CUST_00163,66,10,316354.47,3,3,4,10,Loyal Customers
CUST_00164,28,10,146860.0,4,3,2,9,Potential Loyalists
CUST_00165,14,9,101439.39,5,2,2,9,Promising
CUST_00166,132,9,190074.54,1,2,3,6,Lost
CUST_00167,26,11,239032.5,4,3,4,11,Loyal Customers
CUST_00168,18,7,35992.02,4,1,1,6,Promising
CUST_00169,54,6,11489.279999999999,3,1,1,5,Potential Loyalists
CUST_00170,89,8,53461.52,2,2,1,5,Lost
CUST_00171,51,10,197779.01,3,3,3,9,Potential Loyalists
CUST_00172,26,9,100589.1,4,2,2,8,Promising
CUST_00173,41,10,531155.21,3,3,5,11,Loyal Customers
CUST_00174,109,7,162548.34,2,1,3,6,Lost
CUST_00175,41,13,265365.62,3,4,4,11,Loyal Customers
CUST_00176,185,10,220102.33,1,3,3,7,Potential Loyalists
CUST_00177,25,10,181981.66999999998,4,3,3,10,Loyal Customers
CUST_00178,82,13,127049.25,2,4,2,8,At Risk
CUST_00179,315,7,107545.11,1,1,2,4,Lost
CUST_00180,28,9,384103.32,4,2,5,11,Loyal Customers
CUST_00181,16,8,255977.57,5,2,4,11,Loyal Customers
CUST_00182,182,7,60500.909999999996,1,1,1,3,Lost
CUST_00183,20,8,118163.75,4,2,2,8,Promising
CUST_00184,196,8,337339.67,1,2,5,8,Lost
CUST_00185,22,9,235152.7,4,2,4,10,Loyal Customers
CUST_00186,117,10,224523.58,2,3,3,8,Potential Loyalists
CUST_00187,149,8,465518.49,1,2,5,8,Lost
CUST_00188,38,18,514571.5,4,5,5,14,Champions
CUST_00189,9,6,57399.84,5,1,1,7,Promising
CUST_00190,137,17,480791.44,1,5,5,11,Loyal Customers
CUST_00191,21,11,385110.08,4,3,5,12,Loyal Customers
CUST_00192,66,6,160643.78,3,1,3,7,Potential Loyalists
CUST_00193,45,7,32987.869999999995,3,1,1,5,Potential Loyalists
CUST_00194,14,7,102278.6,5,1,2,8,Promising
CUST_00195,57,10,414504.31,3,3,5,11,Loyal Customers
CUST_00196,31,9,217018.40000000002,4,2,3,9,Promising
CUST_00197,152,8,54847.18,1,2,1,4,Lost
CUST_00198,58,8,173366.62,3,2,3,8,Potential Loyalists
CUST_00199,244,9,166233.65,1,2,3,6,Lost
CUST_00200,63,7,102625.0,3,1,2,6,Potential Loyalists
CUST_00201,63,18,351819.69,3,5,5,13,Champions
CUST_00202,6,10,208595.73,5,3,3,11,Loyal Customers
CUST_00203,17,8,146839.76,5,2,2,9,Promising
CUST_00204,10,12,307387.38,5,4,4,13,Champions
CUST_00205,162,11,112509.26000000001,1,3,2,6,Potential Loyalists
CUST_00206,96,3,6772.83,2,1,1,4,Lost
CUST_00207,58,8,57299.47,3,2,1,6,Potential Loyalists
CUST_00208,6,14,327274.09,5,5,4,14,Champions
CUST_00209,59,9,228365.86,3,2,3,8,Potential Loyalists
CUST_00210,37,13,101019.28,4,4,2,10,Loyal Customers
CUST_00211,99,12,468381.73,2,4,5,11,Loyal Customers
CUST_00212,39,12,103771.3,3,4,2,9,Potential Loyalists
CUST_00213,95,9,149301.08000000002,2,2,2,6,Lost
CUST_00214,106,8,419782.72,2,2,5,9,Lost
CUST_00215,41,17,406606.79,3,5,5,13,Champions
CUST_00216,18,13,228671.44999999998,4,4,3,11,Loyal Customers
CUST_00217,12,14,151367.86000000002,5,5,2,12,Loyal Customers
CUST_00218,329,7,64771.06,1,1,1,3,Lost
CUST_00219,9,9,148182.28,5,2,2,9,Promising
CUST_00220,56,6,268788.21,3,1,4,8,Potential Loyalists
CUST_00221,60,8,124971.88,3,2,2,7,Potential Loyalists
CUST_00222,81,11,324956.76,2,3,4,9,Potential Loyalists
CUST_00223,72,7,135874.02000000002,2,1,2,5,Lost
CUST_00224,45,9,180005.87,3,2,3,8,Potential Loyalists
CUST_00225,35,10,186118.50999999998,4,3,3,10,Loyal Customers
CUST_00226,61,12,349678.85,3,4,5,12,Loyal Customers
CUST_00227,44,9,246999.86,3,2,4,9,Potential Loyalists
CUST_00228,61,8,131966.41999999998,3,2,2,7,Potential Loyalists
CUST_00229,66,5,65589.69,3,1,1,5,Potential Loyalists
CUST_00230,97,9,92154.68,2,2,1,5,Lost
CUST_00231,18,14,459402.18,4,5,5,14,Champions
CUST_00232,2,3,6572.4,5,1,1,7,Promising
CUST_00233,25,7,281214.91000000003,4,1,4,9,Promising
CUST_00234,194,7,334565.11,1,1,5,7,Lost
CUST_00235,304,10,171081.68999999997,1,3,3,7,Potential Loyalists
CUST_00236,232,5,178666.88,1,1,3,5,Lost
CUST_00237,9,15,386923.68,5,5,5,15,Champions
CUST_00238,177,14,234737.4,1,5,4,10,Loyal Customers
CUST_00239,27,13,159936.33000000002,4,4,3,11,Loyal Customers
CUST_00240,141,8,220587.37,1,2,3,6,Lost
CUST_00241,176,13,277557.99,1,4,4,9,At Risk
CUST_00242,12,10,334775.93,5,3,5,13,Champions
CUST_00243,32,10,299257.58999999997,4,3,4,11,Loyal Customers
CUST_00244,12,10,70428.21,5,3,1,9,Potential Loyalists
CUST_00245,72,9,122433.77,2,2,2,6,Lost
CUST_00246,138,9,38969.93,1,2,1,4,Lost
CUST_00247,47,7,370717.68,3,1,5,9,Potential Loyalists
CUST_00248,97,4,57412.71,2,1,1,4,Lost
CUST_00249,53,3,44773.92,3,1,1,5,Potential Loyalists
CUST_00250,48,13,463884.2,3,4,5,12,Loyal Customers
CUST_00251,12,7,288279.07000000007,5,1,4,10,Loyal Customers
CUST_00252,345,8,202891.9,1,2,3,6,Lost
CUST_00253,31,8,57020.78,4,2,1,7,Promising
CUST_00254,56,7,71749.45999999999,3,1,1,5,Potential Loyalists
CUST_00255,91,16,231970.95,2,5,4,11,Loyal Customers
CUST_00256,56,13,171763.1,3,4,3,10,Loyal Customers
CUST_00257,16,12,491775.77,5,4,5,14,Champions
CUST_00258,46,11,167368.03999999998,3,3,3,9,Potential Loyalists
CUST_00259,110,10,170396.0,2,3,3,8,Potential Loyalists
CUST_00260,51,10,194355.27,3,3,3,9,Potential Loyalists
CUST_00261,2,7,161510.74,5,1,3,9,Promising
CUST_00262,6,12,370829.53,5,4,5,14,Champions
CUST_00263,10,14,760527.6100000001,5,5,5,15,Champions
CUST_00264,54,7,192947.33000000002,3,1,3,7,Potential Loyalists
CUST_00265,32,12,118400.02,4,4,2,10,Loyal Customers
CUST_00266,80,9,161562.38999999998,2,2,3,7,Lost
CUST_00267,121,9,251360.72,1,2,4,7,Lost
CUST_00268,13,9,366145.56,5,2,5,12,Loyal Customers
CUST_00269,248,9,134454.48,1,2,2,5,Lost
CUST_00270,49,9,125779.52,3,2,2,7,Potential Loyalists
CUST_00271,263,12,298001.3,1,4,4,9,At Risk
CUST_00272,43,12,262034.31000000003,3,4,4,11,Loyal Customers
CUST_00273,124,11,481427.11,1,3,5,9,Potential Loyalists
CUST_00274,61,15,237260.32,3,5,4,12,Loyal Customers
CUST_00275,30,15,550039.92,4,5,5,14,Champions
CUST_00276,81,12,487967.68,2,4,5,11,Loyal Customers
CUST_00277,269,9,22701.239999999998,1,2,1,4,Lost
CUST_00278,8,14,322620.31,5,5,4,14,Champions
CUST_00279,163,11,229222.88,1,3,3,7,Potential Loyalists
CUST_00280,70,6,127503.56,2,1,2,5,Lost
CUST_00281,130,5,278087.33,1,1,4,6,Lost
CUST_00282,82,11,215188.54,2,3,3,8,Potential Loyalists
CUST_00283,39,16,406647.44,3,5,5,13,Champions
CUST_00284,21,7,85297.86,4,1,1,6,Promising
CUST_00285,147,14,298476.76999999996,1,5,4,10,Loyal Customers
CUST_00286,59,10,35074.47,3,3,1,7,Potential Loyalists
CUST_00287,80,11,249357.86,2,3,4,9,Potential Loyalists
CUST_00288,24,9,233695.27,4,2,4,10,Loyal Customers
CUST_00289,81,10,143214.95,2,3,2,7,Potential Loyalists
CUST_00290,19,8,48297.91,4,2,1,7,Promising
CUST_00291,115,7,103298.98,2,1,2,5,Lost
CUST_00292,39,8,101146.45,3,2,2,7,Potential Loyalists
CUST_00293,156,10,87689.67,1,3,1,5,Potential Loyalists
CUST_00294,19,11,224952.8,4,3,3,10,Loyal Customers
CUST_00295,5,12,220712.68,5,4,3,12,Loyal Customers
CUST_00296,28,15,279007.13,4,5,4,13,Champions
CUST_00297,3,14,219657.66999999998,5,5,3,13,Champions
CUST_00298,130,9,291068.18,1,2,4,7,Lost
CUST_00299,18,10,34613.35,4,3,1,8,Potential Loyalists
CUST_00300,252,7,113461.34999999999,1,1,2,4,Lost
CUST_00301,96,8,86316.45,2,2,1,5,Lost
CUST_00302,127,7,60675.19,1,1,1,3,Lost
CUST_00303,267,12,225503.9,1,4,3,8,At Risk
CUST_00304,6,14,173056.24,5,5,3,13,Champions
CUST_00305,107,11,633052.75,2,3,5,10,Loyal Customers
CUST_00306,211,9,110575.78,1,2,2,5,Lost
CUST_00307,4,9,153269.26,5,2,2,9,Promising
CUST_00308,54,14,136791.45,3,5,2,10,Loyal Customers
CUST_00309,77,7,203753.59,2,1,3,6,Lost
CUST_00310,6,14,342876.37,5,5,5,15,Champions
CUST_00311,242,5,38859.51,1,1,1,3,Lost
CUST_00312,3,15,321920.71,5,5,4,14,Champions
CUST_00313,30,7,76506.18,4,1,1,6,Promising
CUST_00314,34,7,179323.61,4,1,3,8,Promising
CUST_00315,192,8,126688.75,1,2,2,5,Lost
CUST_00316,174,7,129434.34,1,1,2,4,Lost
CUST_00317,100,11,120448.02,2,3,2,7,Potential Loyalists
CUST_00318,13,6,39610.44,5,1,1,7,Promising
CUST_00319,35,8,155608.9,4,2,2,8,Promising
CUST_00320,85,8,256622.39,2,2,4,8,Lost
CUST_00321,9,10,383750.36,5,3,5,13,Champions
CUST_00322,156,10,150509.93,1,3,2,6,Potential Loyalists
CUST_00323,50,11,516115.82,3,3,5,11,Loyal Customers
CUST_00324,4,9,353092.3,5,2,5,12,Loyal Customers
CUST_00325,10,6,143270.37,5,1,2,8,Promising
CUST_00326,105,9,53676.31,2,2,1,5,Lost
CUST_00327,17,11,196677.53,5,3,3,11,Loyal Customers
CUST_00328,173,7,133534.24,1,1,2,4,Lost
CUST_00329,184,9,151248.25,1,2,2,5,Lost
CUST_00330,78,16,326699.3,2,5,4,11,Loyal Customers
CUST_00331,112,11,220389.14,2,3,3,8,Potential Loyalists
CUST_00332,305,6,18191.55,1,1,1,3,Lost
CUST_00333,89,6,73938.68999999999,2,1,1,4,Lost
CUST_00334,62,7,142623.51,3,1,2,6,Potential Loyalists
CUST_00335,36,15,212653.23,4,5,3,12,Loyal Customers
CUST_00336,48,10,110111.15000000001,3,3,2,8,Potential Loyalists
CUST_00337,130,6,191981.36,1,1,3,5,Lost
CUST_00338,256,6,62845.009999999995,1,1,1,3,Lost
CUST_00339,117,10,97960.46,2,3,1,6,Potential Loyalists
CUST_00340,1,9,202525.91,5,2,3,10,Loyal Customers
CUST_00341,205,6,29850.239999999998,1,1,1,3,Lost
CUST_00342,112,9,173428.80000000002,2,2,3,7,Lost
CUST_00343,108,10,216977.95,2,3,3,8,Potential Loyalists
CUST_00344,22,7,195428.27,4,1,3,8,Promising
CUST_00345,60,14,308746.15,3,5,4,12,Loyal Customers
CUST_00346,70,15,465950.96,2,5,5,12,Loyal Customers
CUST_00347,185,8,162726.31,1,2,3,6,Lost
CUST_00348,18,8,316516.63,4,2,4,10,Loyal Customers
CUST_00349,73,7,171317.22,2,1,3,6,Lost
CUST_00350,13,15,201163.33000000002,5,5,3,13,Champions
CUST_00351,27,7,142672.31,4,1,2,7,Promising
CUST_00352,59,11,538106.91,3,3,5,11,Loyal Customers
CUST_00353,27,6,135618.83,4,1,2,7,Promising
CUST_00354,31,9,234298.88,4,2,4,10,Loyal Customers
CUST_00355,63,12,230023.53,3,4,3,10,Loyal Customers
CUST_00356,4,8,137141.78,5,2,2,9,Promising
CUST_00357,11,9,230168.65,5,2,3,10,Loyal Customers
CUST_00358,283,5,21880.39,1,1,1,3,Lost
CUST_00359,7,7,67054.5,5,1,1,7,Promising
CUST_00360,18,14,730033.67,4,5,5,14,Champions
CUST_00361,144,14,352359.89,1,5,5,11,Loyal Customers
CUST_00362,154,11,75196.14,1,3,1,5,Potential Loyalists
CUST_00363,58,15,648918.74,3,5,5,13,Champions
CUST_00364,22,17,646078.54,4,5,5,14,Champions
CUST_00365,43,7,63275.26,3,1,1,5,Potential Loyalists
CUST_00366,375,7,86111.78,1,1,1,3,Lost
CUST_00367,140,7,196265.97999999998,1,1,3,5,Lost
CUST_00368,9,10,81200.88,5,3,1,9,Potential Loyalists
CUST_00369,227,5,297388.11,1,1,4,6,Lost
CUST_00370,31,15,242907.71999999997,4,5,4,13,Champions
CUST_00371,15,11,403283.14,5,3,5,13,Champions
CUST_00372,52,14,244466.19,3,5,4,12,Loyal Customers
CUST_00373,1,13,190591.41,5,4,3,12,Loyal Customers
CUST_00374,34,10,232046.44999999998,4,3,4,11,Loyal Customers
CUST_00375,271,7,37920.22,1,1,1,3,Lost
CUST_00376,96,12,501168.87,2,4,5,11,Loyal Customers
CUST_00377,35,9,136786.1,4,2,2,8,Promising
CUST_00378,64,9,194020.09,3,2,3,8,Potential Loyalists
CUST_00379,100,10,58172.83,2,3,1,6,Potential Loyalists
CUST_00380,205,6,154812.55,1,1,2,4,Lost
CUST_00381,66,9,144524.62,3,2,2,7,Potential Loyalists
CUST_00382,236,4,88391.62999999999,1,1,1,3,Lost
CUST_00383,115,6,67467.54,2,1,1,4,Lost
CUST_00384,155,4,75234.71,1,1,1,3,Lost
CUST_00385,57,11,211873.87,3,3,3,9,Potential Loyalists
CUST_00386,2,20,601959.63,5,5,5,15,Champions
CUST_00387,21,13,175052.84,4,4,3,11,Loyal Customers
CUST_00388,110,11,296201.43,2,3,4,9,Potential Loyalists
CUST_00389,6,11,287889.55,5,3,4,12,Loyal Customers
CUST_00390,29,6,72738.36,4,1,1,6,Promising
CUST_00391,101,9,34412.23,2,2,1,5,Lost
CUST_00392,14,10,101393.21,5,3,2,10,Loyal Customers
CUST_00393,65,11,240884.76,3,3,4,10,Loyal Customers
CUST_00394,91,11,173419.45,2,3,3,8,Potential Loyalists
CUST_00395,56,5,34179.869999999995,3,1,1,5,Potential Loyalists
CUST_00396,222,8,241450.03,1,2,4,7,Lost
CUST_00397,34,6,110264.18,4,1,2,7,Promising
CUST_00398,18,16,517513.23,4,5,5,14,Champions
CUST_00399,82,10,179653.48,2,3,3,8,Potential Loyalists
CUST_00400,149,6,71052.02,1,1,1,3,Lost
CUST_00401,45,7,292149.6,3,1,4,8,Potential Loyalists
CUST_00402,38,8,251640.72,4,2,4,10,Loyal Customers
CUST_00403,10,13,238240.23,5,4,4,13,Champions
CUST_00404,62,6,58172.98,3,1,1,5,Potential Loyalists
CUST_00405,23,13,337442.56,4,4,5,13,Champions
CUST_00406,349,5,134525.63,1,1,2,4,Lost
CUST_00407,26,8,54858.61,4,2,1,7,Promising
CUST_00408,193,12,198638.97,1,4,3,8,At Risk
CUST_00409,13,12,434542.9,5,4,5,14,Champions
CUST_00410,45,8,173763.48,3,2,3,8,Potential Loyalists
CUST_00411,132,11,364076.24,1,3,5,9,Potential Loyalists
CUST_00412,70,11,147323.33000000002,2,3,2,7,Potential Loyalists
CUST_00413,104,14,289207.37,2,5,4,11,Loyal Customers
CUST_00414,75,10,117982.34999999999,2,3,2,7,Potential Loyalists
CUST_00415,63,10,249145.07,3,3,4,10,Loyal Customers
CUST_00416,82,6,24118.83,2,1,1,4,Lost
CUST_00417,88,13,162424.63,2,4,3,9,At Risk
CUST_00418,135,7,152634.14,1,1,2,4,Lost
CUST_00419,89,14,400740.82,2,5,5,12,Loyal Customers
CUST_00420,2,11,96803.98000000001,5,3,1,9,Potential Loyalists
CUST_00421,107,9,157892.84,2,2,2,6,Lost
CUST_00422,63,8,74025.82,3,2,1,6,Potential Loyalists
CUST_00423,23,16,200251.26,4,5,3,12,Loyal Customers
CUST_00424,105,15,365138.38,2,5,5,12,Loyal Customers
CUST_00425,35,13,166753.86,4,5,3,12,Loyal Customers
CUST_00426,19,7,423151.91000000003,4,1,5,10,Loyal Customers
CUST_00427,36,11,78247.14,4,3,1,8,Potential Loyalists
CUST_00428,64,11,155651.37999999998,3,3,2,8,Potential Loyalists
CUST_00429,2,7,72128.12,5,1,1,7,Promising
CUST_00430,80,5,314868.94,2,1,4,7,Lost
CUST_00431,54,8,98849.53,3,2,1,6,Potential Loyalists
CUST_00432,13,12,413999.07,5,4,5,14,Champions
CUST_00433,58,12,408996.8,3,4,5,12,Loyal Customers
CUST_00434,161,6,91742.75,1,1,1,3,Lost
CUST_00435,11,12,173931.65000000002,5,4,3,12,Loyal Customers
CUST_00436,180,9,131401.51,1,2,2,5,Lost
CUST_00437,76,7,284706.67,2,1,4,7,Lost
CUST_00438,257,8,479885.44,1,2,5,8,Lost
CUST_00439,53,10,357807.78,3,3,5,11,Loyal Customers
CUST_00440,5,11,339250.91,5,3,5,13,Champions
CUST_00441,257,13,521679.27999999997,1,5,5,11,Loyal Customers
CUST_00442,313,6,31702.38,1,1,1,3,Lost
CUST_00443,27,14,149825.25,4,5,2,11,Loyal Customers
CUST_00444,87,16,387264.79,2,5,5,12,Loyal Customers
CUST_00445,17,5,209423.6,5,1,3,9,Promising
CUST_00446,22,7,62966.26000000001,4,1,1,6,Promising
CUST_00447,92,9,97025.38,2,2,1,5,Lost
CUST_00448,23,17,442433.19999999995,4,5,5,14,Champions
CUST_00449,23,13,338508.57999999996,4,5,5,14,Champions
CUST_00450,10,13,549615.1799999999,5,5,5,15,Champions
CUST_00451,36,8,358696.03,4,2,5,11,Loyal Customers
CUST_00452,8,9,319551.7,5,2,4,11,Loyal Customers
